01-step1-photo.png  screen=step1-photo  viewport=390x844  144719B  sha256=07d73ea4cdca0af3d031f31cc3405bba1b846da47c6ff3ee10f9902d287f8339  // Step 1 photo — hero + 3 category cards visible
02-tv-builtin-direct-to-device-picker.png  screen=step2-device  viewport=390x844  86984B  sha256=788b52d8aa9880712ad0539434fed0d20749a47832e21026cdf59646d9757823  // Tap TV app built into my TV → step2-device immediately. No repeat category, no Next.
03-streaming-stick-direct-to-device-picker.png  screen=step2-device  viewport=390x844  87353B  sha256=87f99844c10fe9259e4705cbdddb2748d38589184d3f8b6011e16fdea67fa094  // Tap Streaming stick or box → step2-device immediately. No repeat category, no Next.
04-console-cable-other-manual-only.png  screen=manual-unsupported  viewport=390x844  86468B  sha256=7515fe8cb9989dd2a2bd62e2c77124ee836ac9c44911611836c15ae3201c9e47  // Tap Console / cable / other → manual-unsupported. NOT Apple TV detected.
05-photo-bottom-sheet.png  screen=photo-sheet  viewport=390x844  209165B  sha256=8b2416a7a526a315e11c654fb5d2126bf37e03dec8ec2c70767b3088893bd586  // Photo hero opens chooser sheet
06-photo-detect-picker.png  screen=photo-detect-picker  viewport=390x844  113678B  sha256=2abe043fc4bda8e8848283dd138ff8d51fa4549f067a2228a812290363286b5e  // Take a photo → honest demo picker listing 9 detectable devices
07-detected-apple-tv.png  screen=detected-device  detected=apple-tv  viewport=390x844  78548B  sha256=8319e4d2ec1afd0100aa4a293ed9203e0621e147b82708c738401db025ca994b  // Detected device screen for apple-tv (photo path)
08-detected-roku.png  screen=detected-device  detected=roku  viewport=390x844  73047B  sha256=12e364b231e899aec73bd9e51a0233efc967986594376349aea42936acd8e7ea  // Detected device screen for roku (photo path)
09-detected-fire-tv.png  screen=detected-device  detected=fire  viewport=390x844  72298B  sha256=996c5078b1470d3d258ccc5c70f9814618316a5e025126800e1782384d308e1f  // Detected device screen for fire (photo path)
10-detected-google-android-tv.png  screen=detected-device  detected=google  viewport=390x844  76603B  sha256=0dad33df6e1f53e8c69bc3125099b1463de461b3943435d003717e9ac37473ed  // Detected device screen for google (photo path)
11-detected-lg-tv.png  screen=detected-device  detected=lg  viewport=390x844  75617B  sha256=7b3c595d727feea0ab424303438a1bc82ae2359c0c81535d354b69a563b9afd0  // Detected device screen for lg (photo path)
12-detected-samsung-tv.png  screen=detected-device  detected=samsung  viewport=390x844  77954B  sha256=a6e649a077fff83e030d0796225116c1328ebdecfbdec3aa947b8a319a6166ff  // Detected device screen for samsung (photo path)
13-detected-vizio-tv.png  screen=detected-device  detected=vizio  viewport=390x844  76027B  sha256=1de98897322802348760cbc07551bea937b9d35d7d5b35891c854f65d941f836  // Detected device screen for vizio (photo path)
14-detected-sony-tv.png  screen=detected-device  detected=sony  viewport=390x844  74208B  sha256=59114508d1b65ae0cc5da54102b39acd221d910c3679526793b72df5722bfaa5  // Detected device screen for sony (photo path)
15-detected-unknown.png  screen=detected-device  detected=unknown  viewport=390x844  81880B  sha256=768896992ff96e5984510d28437d488a021fadf6c13c2fcc91a8dce48224af73  // Detected device screen for unknown (photo path)
16-device-row-tap-direct-to-setup.png  screen=device-setup  selected=roku  viewport=390x844  103052B  sha256=9504775b833003873e48e6b0a9f66114d34082504b1e7676713b683d68b39145  // Tap Roku row on step2-device → device-setup immediately. No Next gate.
